合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
70	Oremon Cha-rangers	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	10	10	20	0	20	10	0	1	0	1	0	3	480	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
85	ＳＵＮ	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	20	20	20	0	10	15	0	2	0	2	0	5	481	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
85	LINQ	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	10	10	20	10	20	15	0	1	0	1	0	3	463	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
35	seek	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	0	0	0	0	20	15	0	0	0	0	0	2	479	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
80	DMS-空	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	0	0	20	10	30	20	0	0	0	0	0	1	481	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
390	埼玉県立川越高等学校物理部	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	100	70	20	10	30	20	0	7	0	7	0	0	479	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
50	MAC Robot Team	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	25	10	0	0	10	5	0	1	0	1	0	7	443	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
520	Atlantis	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	125	80	20	10	30	15	0	8	0	8	0	0	480	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
685	Atlantis	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	125	80	20	10	30	20	0	8	0	8	0	0	480	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
80	中央中等W	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	35	0	20	0	20	5	0	2	0	0	0	4	479	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
115	DMS-鷹	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	35	20	20	10	0	10	0	2	0	2	0	2	478	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
15	聖徳太子１号	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	0	0	0	0	10	5	0	0	0	0	0	3	478	
